,preco_focco_id,cod_item,cod_preven,tabela_descricao,produto,modulacao,comp_modulo,prof_produto,alt_modulo,tipo_acab,embalagem,base_pe,faixa,configuracao,resp,formula,preco
250729,12268377,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA FOSCA,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA#PINTURA FOSCA#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:SEM CX MADEIRA,,4451.0
250730,12268383,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4691.0
250731,12268388,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,4451.0
250732,12268393,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,4431.0
250733,12268399,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#LAQUEADA#PINTURA MTX#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:LAQUEADA|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:SEM CX MADEIRA,,4191.0
250734,12268404,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA FOSCA,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#MARMORE#PINTURA FOSCA#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:CAIXA MADEIRA,,4767.0
250735,12268410,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA FOSCA,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#MARMORE#PINTURA FOSCA#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA FOSCA|EMBAL_REFORCADA:SEM CX MADEIRA,,4527.0
250736,12268416,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#MARMORE#PINTURA METALIZADO#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:CAIXA MADEIRA,,4767.0
250737,12268421,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA METALIZADO,SEM CX MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#MARMORE#PINTURA METALIZADO#SEM CX MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA METALIZADO|EMBAL_REFORCADA:SEM CX MADEIRA,,4527.0
250738,12268425,24042,155,TABELA CENTURY 2026.2,VITALITE,BANCO,1.98M,0.45M,0.42M,PINTURA MTX,CAIXA MADEIRA,,E,BANCO#SEM#1.98M#0.45M#SIM#0.42M#FX E#LAMINADO#MARMORE#PINTURA MTX#CAIXA MADEIRA,MODULACAO:BANCO|OPCAO_MANCEBO:SEM|COMP_MODULO:1.98M|PROF_PRODUTO:0.45M|OPCAO_TAPECADO:SIM|ALT_MODULO:0.42M|FX_TEC:FX E|TP_ACAB_TAMPO:LAMINADO|TIPO_ACAB_BDJ:MARMORE|TIPO_ACAB:PINTURA MTX|EMBAL_REFORCADA:CAIXA MADEIRA,,4523.0
