timestamp,cod_preven,empresa_focco,acao,preco_focco_id,produto,campo,valor_antes,valor_depois,status
20260707_143941,155,1,UPDATE,12045211,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045213,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045217,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045219,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045220,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045222,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045224,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045228,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045230,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045232,PITESTI 25,qtde_tec,27.0,27.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045234,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045236,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045239,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045242,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045244,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045246,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045248,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045249,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045253,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045255,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045257,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045259,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045261,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045265,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045267,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045269,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045270,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045272,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045277,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045279,PITESTI 25,qtde_tec,14.0,14.8645,PLANEJADO
20260707_143941,155,1,UPDATE,12045281,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045283,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045286,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045289,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045291,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045293,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045296,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045299,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045301,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045302,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045304,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045306,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045309,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045312,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045314,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045316,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045318,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045321,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045323,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045325,PITESTI 25,qtde_tec,15.0,15.6854,PLANEJADO
20260707_143941,155,1,UPDATE,12045327,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045329,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045331,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045334,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045337,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045339,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045341,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045343,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045346,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045348,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045351,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045353,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045354,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045358,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045360,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045363,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045365,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045367,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045371,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045373,PITESTI 25,qtde_tec,16.0,16.4864,PLANEJADO
20260707_143941,155,1,UPDATE,12045377,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045379,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045382,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045384,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045388,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045390,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045392,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045395,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045398,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045401,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045403,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045406,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045409,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045411,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045413,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045416,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045418,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045422,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045424,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045426,PITESTI 25,qtde_tec,20.0,20.5762,PLANEJADO
20260707_143941,155,1,UPDATE,12045429,PITESTI 25,qtde_tec,21.0,21.3406,PLANEJADO
20260707_143941,155,1,UPDATE,12045432,PITESTI 25,qtde_tec,21.0,21.3406,PLANEJADO
20260707_143941,155,1,UPDATE,12045435,PITESTI 25,qtde_tec,21.0,21.3406,PLANEJADO
